"﻿""frc""",timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
FRC3,2021-04-27 6:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 6:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 7:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 7:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 7:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 7:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 8:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 8:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 8:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 8:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 9:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 9:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 9:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 9:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 10:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 10:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 10:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 10:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 11:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 11:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 11:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 11:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 12:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 12:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 12:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 12:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 13:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 13:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 13:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 13:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 14:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 14:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 14:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 14:59,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 15:14,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 15:29,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 15:44,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 15:59,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 16:14,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 16:29,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 16:44,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 16:59,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 17:14,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 17:29,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 17:44,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 17:59,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 18:14,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 18:29,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 18:44,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 18:59,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-30 1:44,54,54,12,12,0.949999988079071,False
FRC3,2021-04-29 0:45,54,54,12,12,0.949999988079071,False
FRC3,2021-04-29 0:55,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 1:05,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 1:15,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 1:25,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 1:35,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 1:45,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 1:55,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 2:05,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 2:15,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 2:25,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 2:35,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 2:45,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 2:55,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 3:05,54,54,12,12,0.949999988079071,False
FRC3,2021-04-30 3:15,54,54,12,12,0.949999988079071,False
